trade_id,pair,signal_bar_time,entry_time,entry_price,sl_at_entry_price,exit_time,exit_price,exit_reason,final_r,bars_held,mfe_r,mae_r,spread_pips_used,spread_pips_exit,h_ref,h_ref_bar_offset,break_magnitude_atr,close_position,trend_filter_swing_low,atr14_at_signal,time_to_peak_mfe,calendar_year
1,CAD_JPY,2020-10-05 08:00:00,2020-10-05 12:00:00,79.596,79.15178571,2020-10-27 20:00:00,79.14578571,stoploss,-1.013506995,99,4.117382216,-3.788712012,1.2,1.2,79.559,9,0.1395722785,0.6519607843,78.748,0.2221071429,27,2020
2,CHF_JPY,2020-10-05 08:00:00,2020-10-05 12:00:00,115.265,114.6587449,2020-10-28 04:00:00,114.6477449,stoploss,-1.018144177,101,2.175651793,-2.57152475,2.2,2.2,115.165,11,0.2936057765,0.9480968858,114.041,0.303127551,67,2020
3,EUR_NZD,2020-10-05 12:00:00,2020-10-05 16:00:00,1.77092,1.763177609,2020-10-14 00:00:00,1.762987609,stoploss,-1.024540224,39,4.016847163,-9.844504526,3.8,3.8,1.76995,7,0.2014881535,0.967032967,1.76323,0.003871195335,15,2020
4,GBP_USD,2020-10-05 12:00:00,2020-10-05 16:00:00,1.296605,1.285176961,2020-10-07 12:00:00,1.285136961,stoploss,-1.003500163,12,3.777988388,-1.06623714,0.9,0.8,1.29539,7,0.1960091254,0.8891966759,1.2836,0.005714019679,4,2020
5,EUR_JPY,2020-10-05 16:00:00,2020-10-05 20:00:00,124.648,124.02153,2020-10-06 20:00:00,124.01453,stoploss,-1.011173719,7,0.7741791152,-4.839816654,1,1.4,124.203,13,1.4142736,0.8774319066,123.019,0.3132350062,5,2020
6,EUR_USD,2020-10-05 16:00:00,2020-10-05 20:00:00,1.178655,1.173093921,2020-10-07 00:00:00,1.173058921,stoploss,-1.006293742,8,3.899422949,-3.320398651,0.7,0.7,1.17694,13,0.6041992671,0.6646706587,1.16957,0.002780539619,4,2020
7,GBP_JPY,2020-10-05 16:00:00,2020-10-05 20:00:00,137.266,136.0286443,2020-10-06 20:00:00,136.0166443,stoploss,-1.0096981,7,2.464125642,-2.316229613,2,2.4,137.008,13,0.4024711609,0.8159645233,135.044,0.6186778686,3,2020
8,USD_JPY,2020-10-05 16:00:00,2020-10-05 20:00:00,105.758,105.3758606,2020-10-12 12:00:00,105.3728606,stoploss,-1.007850539,29,0.9132793643,-6.759314034,0.6,0.6,105.727,12,0.1465433937,0.8549019608,104.941,0.1910696845,13,2020
9,EUR_AUD,2020-10-06 08:00:00,2020-10-06 12:00:00,1.64472,1.635717378,2020-10-09 16:00:00,1.635597378,stoploss,-1.01332945,20,4.209884581,-3.611170125,2.4,2.4,1.6422,12,0.5487290193,0.5681581686,1.63068,0.004501311054,3,2020
10,GBP_AUD,2020-10-06 08:00:00,2020-10-06 12:00:00,1.81432,1.800367077,2020-10-07 16:00:00,1.800167077,stoploss,-1.014333914,8,2.739210981,-1.479259933,4,4,1.81133,11,0.4013495943,0.7384196185,1.78462,0.006976461518,0,2020
11,EUR_GBP,2020-10-06 12:00:00,2020-10-06 16:00:00,0.9118,0.90586661,2020-10-12 08:00:00,0.90582661,stoploss,-1.006741509,23,0.717970675,-4.33141933,0.8,0.8,0.90901,5,0.9235866898,0.9653379549,0.90438,0.002966694984,6,2020
12,AUD_NZD,2020-10-07 16:00:00,2020-10-07 20:00:00,1.084335,1.079758447,2020-10-13 04:00:00,1.079653447,stoploss,-1.022943033,21,1.106728232,-9.320334207,2.1,2.1,1.08291,9,0.5681132092,1,1.07586,0.002288276314,5,2020
13,CAD_CHF,2020-10-07 20:00:00,2020-10-08 00:00:00,0.691985,0.689058897,2020-10-20 08:00:00,0.688983897,stoploss,-1.02563136,51,4.441060296,-3.508078795,1.5,1.5,0.69054,10,0.9432340452,0.9827586207,0.68797,0.001463051516,27,2020
14,GBP_NZD,2020-10-07 20:00:00,2020-10-08 00:00:00,1.96305,1.947717543,2020-10-13 20:00:00,1.947477543,stoploss,-1.015653069,24,1.087888272,-4.970501509,4.8,4.8,1.96015,9,0.3469763552,0.544973545,1.93212,0.007666228434,1,2020
15,AUD_CHF,2020-10-08 08:00:00,2020-10-08 12:00:00,0.65749,0.6534392949,2020-10-13 00:00:00,0.6533692949,stoploss,-1.017280942,16,3.448782263,-5.038628919,1.4,1.4,0.65524,4,1.086230634,0.9460431655,0.65062,0.002025352564,7,2020
16,AUD_JPY,2020-10-08 08:00:00,2020-10-08 12:00:00,75.932,75.39064468,2020-10-14 04:00:00,75.38614468,stoploss,-1.00831247,23,3.010961475,-5.16850933,0.8,0.9,75.747,4,0.6760809202,0.8285714286,74.928,0.2706776579,7,2020
17,AUD_USD,2020-10-08 08:00:00,2020-10-08 12:00:00,0.71653,0.7115730481,2020-10-15 08:00:00,0.7115230481,stoploss,-1.010086844,30,5.469086775,-3.518291161,1,1,0.71514,4,0.5487243095,0.816091954,0.7095,0.002478475942,8,2020
18,GBP_CHF,2020-10-08 08:00:00,2020-10-08 12:00:00,1.188725,1.180456616,2020-10-09 12:00:00,1.180361616,stoploss,-1.011489549,7,3.824810363,-2.005833355,1.9,1.9,1.18552,6,0.7764516214,0.8065843621,1.17694,0.004134191895,1,2020
19,NZD_USD,2020-10-09 04:00:00,2020-10-09 08:00:00,0.660465,0.656316548,2020-10-20 08:00:00,0.656261548,stoploss,-1.013257958,43,12.03943073,-1.252274354,1.1,1.1,0.65964,4,0.3760438869,0.5754189944,0.65467,0.00207422598,20,2020
20,EUR_JPY,2020-10-09 08:00:00,2020-10-09 12:00:00,124.941,124.397455,2020-10-12 12:00:00,124.390455,stoploss,-1.012878419,7,3.195687782,-6.117249208,1.4,1.4,124.871,6,0.2318115489,0.9116719243,123.019,0.271772482,1,2020
21,EUR_USD,2020-10-09 08:00:00,2020-10-09 12:00:00,1.180205,1.175585113,2020-10-13 16:00:00,1.175550113,stoploss,-1.007575943,14,8.122493177,-4.33235712,0.7,0.7,1.17816,6,0.8701511678,0.9435483871,1.16957,0.002309943461,2,2020
